case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Apple M4 Max",14,14,3,4.2e-05,765.643583,765.643583,765.643583,733.57725,793.934333,24.78488299,765.643583,733.57725,793.934333,24.78488299,0.7047464142,0.7047464142,5.485581141e-08,0,0,0,2582.921875,0,0,0,0,0,0,765.643583,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Apple M4 Max",14,14,3,10.0365,583.5493057,593.5858057,583.5493057,557.350917,600.089833,18.73694122,593.5858057,567.387417,610.126333,18.73694122,0.924659775,0.924659775,0.01690825472,0,0,220017600,2792.8125,0,10.0365,0,0,0.989097,0,575.423014,0,0,7.137194667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Apple M4 Max",14,14,3,446.468041,629.7109863,1076.179027,629.7109863,594.785959,667.739875,29.86406906,1076.179027,1041.254,1114.207916,29.86406906,0.8568765376,0.8568765376,0.4148640976,0,0,1924445952,4608.125,0,0,0,446.468041,0,0,629.7109863,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Apple M4 Max",14,14,3,204.369916,972.2198053,1176.589721,972.2198053,926.725833,1020.512333,38.33928211,1176.589721,1131.095749,1224.882249,38.33928211,0.5550026514,0.5550026514,0.1736968395,1.228013142e-16,0.0048828125,8909472,4645.375,50,0,204.369916,0,0,0,972.2198053,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Apple M4 Max",14,14,3,4.1e-05,444.5755137,444.5755137,444.5755137,427.874458,476.718042,22.73401612,444.5755137,427.874458,476.718042,22.73401612,1.213707352,0.6068536762,9.222280297e-08,8.718185024e-18,0.00390625,0,4645.375,0,0,0,0,0,0,444.5755137,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Apple M4 Max",14,14,3,21.980708,332.7678333,354.7485413,332.7678333,323.981583,339.14075,6.419668765,354.7485413,345.962291,361.121458,6.419668765,1.621504592,0.8107522958,0.06196137669,8.298033569e-18,0.0029296875,440035200,4645.375,0,21.980708,0,0,1.892486333,0,325.394597,0,0,5.48075,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Apple M4 Max",14,14,3,561.449666,326.0068193,887.4564853,326.0068193,315.436667,342.414166,11.76154727,887.4564853,876.886333,903.863832,11.76154727,1.655132769,0.8275663846,0.6326503612,0,0,1924445952,5742.21875,0,0,0,561.449666,0,0,326.0068193,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Apple M4 Max",14,14,3,210.079833,483.472625,693.552458,483.472625,482.218208,484.908917,1.105979993,693.552458,692.298041,694.98875,1.105979993,1.116060231,0.5580301156,0.3029040278,1.228013142e-16,0.0048828125,8909472,5772.15625,50,0,210.079833,0,0,0,483.472625,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Apple M4 Max",14,14,3,0.000292,292.6909583,292.6909583,292.6909583,282.966375,305.308375,9.347641575,292.6909583,282.966375,305.308375,9.347641575,1.843530025,0.6145100083,9.976392905e-07,1.381617302e-17,0.005859375,0,5772.15625,0,0,0,0,0,0,292.6909583,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Apple M4 Max",14,14,3,4.958875,222.0363753,226.9952503,222.0363753,220.399667,223.655584,1.329280145,226.9952503,225.358542,228.614459,1.329280145,2.430162935,0.8100543118,0.02184572141,1.296852184e-17,0.0048828125,660052800,5772.15625,0,4.958875,0,0,2.843819667,0,213.6957083,0,0,5.496847333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
