case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Apple M4 Max",14,14,3,4.2e-05,722.165667,722.165667,722.165667,714.529625,736.842084,10.38064278,722.165667,714.529625,736.842084,10.38064278,0.7525282362,0.7525282362,5.815840038e-08,0,0,0,2583.21875,0,0,0,0,0,0,722.165667,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Apple M4 Max",14,14,3,11.598667,546.9938887,558.5925557,546.9938887,536.414625,553.661333,7.564786055,558.5925557,548.013292,565.26,7.564786055,0.9935212567,0.9935212567,0.02076409161,0,0,220017600,2583.21875,0,11.598667,0,0,0.8832776667,0,536.801611,0,0,9.309,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Apple M4 Max",14,14,3,580.969708,611.5394027,1192.509111,611.5394027,607.357958,619.250625,5.459144003,1192.509111,1188.327666,1200.220333,5.459144003,0.8886591008,0.8886591008,0.4871826159,0,0,1924445952,3993.234375,0,0,0,580.969708,0,0,611.5394027,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Apple M4 Max",14,14,3,215.119125,905.7942223,1120.913347,905.7942223,892.591667,927.266083,15.31589238,1120.913347,1107.710792,1142.385208,15.31589238,0.5999707685,0.5999707685,0.1919141435,1.228013142e-16,0.0048828125,8909472,4033.84375,50,0,215.119125,0,0,0,905.7942223,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Apple M4 Max",14,14,3,4.2e-05,409.460639,409.460639,409.460639,390.1815,426.72975,14.98830219,409.460639,390.1815,426.72975,14.98830219,1.327233936,0.6636169682,1.025739619e-07,7.325795297e-18,0.0029296875,0,4033.84375,0,0,0,0,0,0,409.460639,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Apple M4 Max",14,14,3,65.448625,297.3712083,362.8198333,297.3712083,293.6125,303.82675,4.58529594,362.8198333,359.061125,369.275375,4.58529594,1.827514031,0.9137570155,0.1803887742,8.298033569e-18,0.0029296875,440035200,4428.234375,0,65.448625,0,0,1.742430667,0,290.199611,0,0,5.429166667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Apple M4 Max",14,14,3,590.354875,326.099861,916.454736,326.099861,314.887125,334.539375,8.259168752,916.454736,905.242,924.89425,8.259168752,1.666514221,0.8332571103,0.6441724308,0,0,1924445952,6255.59375,0,0,0,590.354875,0,0,326.099861,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Apple M4 Max",14,14,3,209.067417,491.425778,700.493195,491.425778,489.368125,494.620709,2.290190764,700.493195,698.435542,703.688126,2.290190764,1.105863957,0.5529319787,0.2984574561,1.228013142e-16,0.0048828125,8909472,6284.125,50,0,209.067417,0,0,0,491.425778,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Apple M4 Max",14,14,3,0,277.4218197,277.4218197,277.4218197,271.687417,281.117667,4.110894846,277.4218197,271.687417,281.117667,4.110894846,1.95893047,0.6529768234,0,1.381083486e-17,0.005859375,0,6284.390625,0,0,0,0,0,0,277.4218197,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Apple M4 Max",14,14,3,34.493583,219.6457497,254.1393327,219.6457497,210.207583,234.760583,10.79755715,254.1393327,244.701166,269.254166,10.79755715,2.474211572,0.8247371908,0.1357270543,1.296852184e-17,0.0048828125,660052800,6284.390625,0,34.493583,0,0,2.849375,0,211.0403057,0,0,5.756069,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
