env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_atomic,1,physical_core_region,722.165667,0.7525282362,0.7525282362,PASS,,,14,14,Apple M4 Max,,,,0.0,0.0
default,cpu_private_csr,1,physical_core_region,546.9938887,0.9935212567,0.9935212567,PASS,,,14,14,Apple M4 Max,,,,220017600.0,0.0
default,cpu_row_owner,1,physical_core_region,611.5394027,0.8886591008,0.8886591008,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,1,physical_core_region,905.7942223,0.5999707685,0.5999707685,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,2,physical_core_region,409.460639,1.327233936,0.6636169682,PASS,,,14,14,Apple M4 Max,,,,0.0,7.325795297e-18
default,cpu_private_csr,2,physical_core_region,297.3712083,1.827514031,0.9137570155,PASS,,,14,14,Apple M4 Max,,,,440035200.0,8.298033569e-18
default,cpu_row_owner,2,physical_core_region,326.099861,1.666514221,0.8332571103,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,2,physical_core_region,491.425778,1.105863957,0.5529319787,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,3,physical_core_region,277.4218197,1.95893047,0.6529768234,PASS,,,14,14,Apple M4 Max,,,,0.0,1.381083486e-17
default,cpu_private_csr,3,physical_core_region,219.6457497,2.474211572,0.8247371908,PASS,,,14,14,Apple M4 Max,,,,660052800.0,1.296852184e-17
default,cpu_row_owner,3,physical_core_region,227.0033193,2.394018102,0.798006034,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,3,physical_core_region,340.782236,1.594713569,0.5315711895,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,4,physical_core_region,215.922917,2.516870665,0.6292176662,PASS,,,14,14,Apple M4 Max,,,,0.0,1.715234522e-17
default,cpu_private_csr,4,physical_core_region,174.2824167,3.118215056,0.779553764,PASS,,,14,14,Apple M4 Max,,,,880070400.0,1.621461041e-17
default,cpu_row_owner,4,physical_core_region,183.4106247,2.963023852,0.7407559631,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,4,physical_core_region,270.8581807,2.006400746,0.5016001864,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,5,physical_core_region,195.922583,2.773799974,0.5547599948,PASS,,,14,14,Apple M4 Max,,,,0.0,9.153751368e-17
default,cpu_private_csr,5,physical_core_region,152.071875,3.573639476,0.7147278952,PASS,,,14,14,Apple M4 Max,,,,1100088000.0,6.933680511e-17
default,cpu_row_owner,5,physical_core_region,161.8080693,3.35860911,0.6717218219,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,5,physical_core_region,236.4448473,2.298422071,0.4596844142,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,6,physical_core_region,167.077167,3.252688955,0.5421148258,PASS,,,14,14,Apple M4 Max,,,,0.0,1.562208042e-17
default,cpu_private_csr,6,physical_core_region,130.4596943,4.165654829,0.6942758048,PASS,,,14,14,Apple M4 Max,,,,1320105600.0,1.413851997e-17
default,cpu_row_owner,6,physical_core_region,131.4724863,4.133564906,0.6889274844,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,6,physical_core_region,189.5065553,2.867711118,0.477951853,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,7,physical_core_region,156.9627643,3.462286473,0.4946123532,PASS,,,14,14,Apple M4 Max,,,,0.0,1.090291376e-16
default,cpu_private_csr,7,physical_core_region,126.4385557,4.298135587,0.6140193696,PASS,,,14,14,Apple M4 Max,,,,1540123200.0,8.268687012e-17
default,cpu_row_owner,7,physical_core_region,152.4236943,3.565390919,0.5093415599,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,7,physical_core_region,217.2215697,2.501823629,0.3574033755,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,8,physical_core_region,145.132375,3.744512936,0.468064117,PASS,,,14,14,Apple M4 Max,,,,0.0,9.814477244e-17
default,cpu_private_csr,8,physical_core_region,122.774167,4.426420223,0.5533025279,PASS,,,14,14,Apple M4 Max,,,,1760140800.0,7.391654287e-17
default,cpu_row_owner,8,physical_core_region,124.6964027,4.358185513,0.5447731892,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,8,physical_core_region,174.0421667,3.122519479,0.3903149349,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,9,physical_core_region,134.2734443,4.047338313,0.449704257,PASS,,,14,14,Apple M4 Max,,,,0.0,1.164690085e-16
default,cpu_private_csr,9,physical_core_region,104.8401947,5.183604031,0.5759560034,PASS,,,14,14,Apple M4 Max,,,,1980158400.0,8.849359086e-17
default,cpu_row_owner,9,physical_core_region,112.6344583,4.824900512,0.5361000569,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,9,physical_core_region,163.0142917,3.333757121,0.3704174579,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,10,physical_core_region,134.818583,4.030972909,0.4030972909,PASS,,,14,14,Apple M4 Max,,,,0.0,1.282579405e-16
default,cpu_private_csr,10,physical_core_region,117.639403,4.619626093,0.4619626093,PASS,,,14,14,Apple M4 Max,,,,2200176000.0,9.69392873e-17
default,cpu_row_owner,10,physical_core_region,139.1804167,3.904644552,0.3904644552,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,10,physical_core_region,185.695847,2.926560095,0.2926560095,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,11,physical_core_region,146.8561253,3.700561038,0.3364146399,PASS,,,14,14,Apple M4 Max,,,,0.0,1.364900771e-16
default,cpu_private_csr,11,physical_core_region,124.196125,4.375740835,0.3977946213,PASS,,,14,14,Apple M4 Max,,,,2420193600.0,1.03807079e-16
default,cpu_row_owner,11,physical_core_region,169.3409857,3.209205695,0.2917459723,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,11,physical_core_region,177.7584583,3.057238799,0.2779307999,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,12,physical_core_region,148.004264,3.671854046,0.3059878372,PASS,,,14,14,Apple M4 Max,,,,0.0,2.081131228e-17
default,cpu_private_csr,12,physical_core_region,151.634764,3.583941052,0.2986617544,PASS,,,14,14,Apple M4 Max,,,,2640211200.0,1.955083744e-17
default,cpu_row_owner,12,physical_core_region,129.4936947,4.196729864,0.3497274887,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,12,physical_core_region,172.610292,3.148422086,0.2623685072,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,13,physical_core_region,161.3608473,3.367917711,0.2590705932,PASS,,,14,14,Apple M4 Max,,,,0.0,1.423895638e-16
default,cpu_private_csr,13,physical_core_region,143.3634023,3.790716786,0.2915935989,PASS,,,14,14,Apple M4 Max,,,,2860228800.0,1.128365689e-16
default,cpu_row_owner,13,physical_core_region,140.9810137,3.854774778,0.2965211368,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,13,physical_core_region,163.4605557,3.324655624,0.2557427403,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,14,physical_core_region,144.862042,3.751500726,0.2679643375,PASS,,,14,14,Apple M4 Max,,,,0.0,1.471925752e-16
default,cpu_private_csr,14,physical_core_region,121.9282363,4.457130456,0.3183664612,PASS,,,14,14,Apple M4 Max,,,,3080246400.0,1.156296498e-16
default,cpu_row_owner,14,physical_core_region,137.395958,3.955356938,0.2825254955,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,14,physical_core_region,167.0143057,3.253913211,0.2324223722,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,15,oversubscription_region,144.8824583,3.750972077,0.2500648051,PASS,,,14,14,Apple M4 Max,,,,0.0,1.499885228e-16
default,cpu_private_csr,15,oversubscription_region,143.2869717,3.792738791,0.2528492527,PASS,,,14,14,Apple M4 Max,,,,3300264000.0,1.179939966e-16
default,cpu_row_owner,15,oversubscription_region,150.313667,3.615440076,0.2410293384,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,15,oversubscription_region,168.9321947,3.2169715,0.2144647667,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,16,oversubscription_region,173.4424167,3.133316902,0.1958323064,PASS,,,14,14,Apple M4 Max,,,,0.0,1.4006082e-16
default,cpu_private_csr,16,oversubscription_region,149.2446807,3.641336182,0.2275835114,PASS,,,14,14,Apple M4 Max,,,,3520281600.0,1.194917402e-16
default,cpu_row_owner,16,oversubscription_region,125.5800417,4.327519313,0.2704699571,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
